;Region;Country Code;Country;Year;Sex;32 - Contraceptive prevalence among women who are married or in a union  aged 15-49;35b - Antenatal care coverage  at least four visi;4 - Proportion of employed who are own-account workers  by sex;9 - Informal employment as a percentage of total non-agricultural employment  by sex;8b - Percentage distribution of employed population in industrial sector  by sex;31c - Educational attainment (upper secondary) of the population aged 25 and older  by sex;30 - Effective transition rate from primary to secondary education (general programmes)  by sex;20 - Youth literacy rate of persons (15-24 years)  by sex;24b - Gender parity index of the gross enrolment ratio in secondary education;10 - Youth unemployment rate for persons aged 15-24  by sex;36 - Proportion of births attended by skilled health professional;29 - Gross graduation ratio from lower secondary education  by sex;31d - Educational attainment (post-secondary) of the population aged 25 and older  by sex;26 - Proportion of females among tertiary education teachers or professor;3a - Labour force participation rate for persons aged 15-24  by sex;25 - Share of female science  engineering  manufacturing and construction graduates at tertiary level;27 - Adjusted net intake rate to the first grade of primary education  by sex;24a - Gender parity index of the gross enrolment ratio in primary education;8c - Percentage distribution of employed population in service sector  by sex;33 - Under-five mortality rate  by sex;23 - Gross enrolment ratio in tertiary education  by sex;6 - Proportion of employed who are employers  by sex;21 - Adjusted net enrolment rate in primary education by sex;28 - Primary education completion rate (proxy)  by sex;43 - Women’s share of government ministerial position;3b - Labour force participation rate for persons aged 15+  by sex;35a - Antenatal care coverage  at least one visi;31b - Educational attainment (lower secondary) of the population aged 25 and older  by sex;40 - Access to anti-retroviral drug  by sex;22 - Gross enrolment ratio in secondary education  by sex;39 - Women’s share of population aged 15-49 living with HIV_AIDS;14 - Proportion of employed working part-time  by sex;24c - Gender parity index of the gross enrolment ratio in tertiary education;44 - Proportion of seats held by women in national parliamen;50 - Prevalence of female genital mutilation_cutting (for relevant countries only);52 - Adolescent birth rate;8a - Percentage distribution of employed population in agricultural sector  by sex;51 - Percentage of women aged 20-24 years old who were married or in a union before age 18;34 - Maternal mortality ratio;45 - Women’s share of managerial position;18 - Proportion of individuals using mobile_cellular telephones  by sex;49 - Proportion of women (aged 15-49) subjected to sexual violence by persons other than an intimate partner  since age 15;37 - Smoking prevalence among persons aged 15 and over  by sex;31e - Educational attainment (tertiary) of the population aged 25 and older  by sex;5 - Proportion of employed who are contributing family workers  by sex;1 - Average number of hours spent on unpaid domestic and care work  by sex;48 - Proportion of ever-partnered women (aged 15-49) subjected to physical and_or sexual violence by a current or former intimate partner  in the last 12 month;46 - Share of female police officer;38 - Proportion of adults who are obese  by sex;31a - Educational attainment (primary) of the population aged 25 and older  by sex;2 - Average number of hours spent on paid and unpaid domestic and care work combined (total work burden)  by sex;41 - Life expectancy at age 60  by sex;17 - Proportion of individuals using the Internet  by sex;47 - Share of female judge
2509;Developed regions;428;Latvia;2013;Male;;;7,24;;34,53;;98,11;;;21,84;;;;;42,56;;87,05;;54,08;9,1;53,66;5,52;98,03;110,37;;66,12;;;;112,27;;9,98;;;;;11,27;;;;;;;;1,06;;;;;;;;75,76;
2510;Developed regions;428;Latvia;2013;Both sexes;;;6,51;;23,9;;98,34;;;23,22;;;;;39,36;;88,81;;67,95;;66,95;4,2;98,47;110,66;;59,43;;;;110,48;;14,2;;;;;8,05;;;;;;;;0,84;;;;;;;;75,23;
2511;Developed regions;428;Latvia;2014;Female;;;5,86;;12,89;;98,37;;;19,96;98,1;115,6;;55,66;35,3;;90,96;;82,58;;79,22;2,36;97,34;105,64;23,08;53,43;;;;114,01;31;17,93;;18,0;;;4,49;;18,0;42,05;;7,0;;;0,57;;5,0;0,36;;;;;;0,79
2512;Developed regions;428;Latvia;2014;Male;;;7,67;;34,98;;98,39;;;19,37;;115,73;;;45,28;;86,72;;54,41;;55,48;5,63;96,72;104,11;;66,5;;;;116,63;;9,41;;;;;10,57;;;;;;;;1,04;;;;;;;;;
2513;Developed regions;428;Latvia;2014;Both sexes;;;6,76;;23,84;;98,38;;;19,62;;115,67;;;40,41;;88,8;;68,62;;67,04;3,98;97,03;104,85;;59,27;;;;115,36;;13,71;;;;;7,5;;;;;;;;0,81;;;;;;;;;
2514;Developed regions;428;Latvia;2015;Female;;;6,3;;12,75;;;99,87;;14,15;;122,12;;;37,13;;93,72;;82,13;7,2;;2,58;96,9;104,02;;54,12;;;20;119,1;31;20,54;;;;;5,05;;18,0;44,26;;;;;0,62;;;;;;;;;
2515;Developed regions;428;Latvia;2015;Male;;;8,69;;34,72;;;99,79;;18,02;;120,48;;;45,22;;88,73;;54,39;8,6;;6,05;96,61;102,41;;67,4;;;20;119,87;;11,22;;;;;10,87;;;;;;;;1,04;;;;;;;;;
2516;Developed regions;428;Latvia;2015;Both sexes;;;7,48;;23,64;;;99,83;;16,33;;121,27;;;41,27;;91,17;;68,39;;;4,3;96,75;103,2;;60,07;;;;119,49;;15,92;;;;;7,94;;;;;;;;0,82;;;;;;;;;
2517;Developed regions;428;Latvia;2016;Female;;;6,74;;;;;;;12,12;;;;;35,92;;;;81,17;;;2,49;;;;54,98;;;;;;;;;;;5,06;;;;;;;;;;;;;;;;;
2518;Developed regions;428;Latvia;2016;Male;;;8,89;;;;;;;21,41;;;;;43,22;;;;54,02;;;6,05;;;;67,11;;;;;;;;;;;10,41;;;;;;;;;;;;;;;;;
2519;Developed regions;428;Latvia;2016;Both sexes;;;7,8;;;;;;;17,3;;;;;39,67;;;;67,85;;;4,23;;;;60,42;;;;;;;;;;;7,69;;;;;;;;0,84;;;;;;;;;
2520;Developed regions;440;Lithuania;1999;Female;;;11,47;;21,5;;99,66;;;20,99;100,0;;;49,52;37,59;37,88;94,02;;62,59;;53,38;1,47;97,95;98,1;;55,13;;;;95,44;-;21,53;;17,5;;26,2;15,91;;18,0;35,62;;;;;4,35;;;;;;;;;
2521;Developed regions;440;Lithuania;1999;Male;;;17,11;;32,55;;100,0;;;28,84;;;;;48,4;;91,91;;43,45;;34,78;2,58;97,88;100,48;;68,41;;;;95,17;;11,21;;;;;24,0;;;;;;;;3,89;;;;;;;;;
2522;Developed regions;440;Lithuania;1999;Both sexes;;;14,31;;27,07;;99,83;;;25,46;;;;;43,07;;92,95;;52,94;;43,97;2,03;97,91;99,31;;61,21;;;;95,3;;16,33;;;;;19,99;;;;;;;;4,12;;;;;;;;;
2523;Developed regions;440;Lithuania;2003;Female;;;12,04;;20,39;;99,33;;;32,78;100,0;;;53,25;28,81;35,75;88,03;;64,04;;83,88;1,29;96,09;108,26;;55,03;;;;106,2;-;22,51;;10,6;;21,3;15,57;;14,0;41,49;;;;;4,57;4,48;;;;;8,52;;;
2524;Developed regions;440;Lithuania;2003;Male;;;17,6;;33,97;;99,45;;;22,21;;;;;35,68;;85,51;;44,21;;54,28;3,28;95,8;108,73;;66,39;;;;108,54;;10,36;;;;;21,81;;;;;;;;3,04;2,15;;;;;7,62;;;
2525;Developed regions;440;Lithuania;2003;Both sexes;;;14,84;;27,24;;99,39;;;26,92;;;;;32,25;;86,74;;54,05;;68,87;2,29;95,94;108,5;;60,2;;;;107,39;;16,39;;;;;18,71;;;;;;;;3,8;;;;;;;;24,45;
2526;Developed regions;440;Lithuania;2008;Female;;;6,02;;18,97;;99,28;;;13,88;100,0;;;55,49;25,29;33,45;97,33;;75,13;;103,63;0,99;98,84;93,32;23,076923076923;50,52;;;;100,98;-;16,8;;22,7;;20,7;5,9;;11,0;41,45;87,75;;;;1,92;;;0,25;24,7;;;;54,06;0,55
2527;Developed regions;440;Lithuania;2008;Male;;;10,12;;41,85;;99,38;;;12,97;;;;;34,6;;97,1;;47,96;;67,2;3,26;99,03;93,57;;62,19;;;;101,14;;7,84;;;;;10,19;;;;88,1;;;;1,0;;;;23,9;;;;56,53;
2528;Developed regions;440;Lithuania;2008;Both sexes;;;8,09;;30,52;;99,33;;;13,35;;;;;30,02;;97,21;;61,42;;85,12;2,14;98,94;93,45;;55,82;;;;101,06;;12,28;;;;;8,06;;;;87,91;;;;1,46;;;;;;;;55,22;
2529;Developed regions;440;Lithuania;2000;Female;;;12,07;;20,97;;99,61;;;27,29;100,0;;;49,99;32,71;35,91;93,6;;63,82;10,5;61,04;1,07;97,94;100,02;;54,97;;;;97,64;-;22,37;;17,5;;24,5;15,21;;16,0;42,95;;;;;3,55;;;;;;;21,85;;
2530;Developed regions;440;Lithuania;2000;Male;;;17,91;;32,79;;99,93;;;29,52;;;;;41,77;;91,78;;43,79;13,0;39,75;2,39;97,83;101,32;;66,53;;;;98,53;;12,6;;;;;23,42;;;;;;;;2,47;;;;;;;15,39;;
2531;Developed regions;440;Lithuania;2000;Both sexes;;;14,94;;26,78;;99,77;;;28,56;;;;;37,31;;92,67;;53,98;;50,26;1,72;97,88;100,68;;60,26;;;;98,09;;17,57;;;;;19,24;;;;;;;;3,02;;;;;;;19,0;;
2532;Developed regions;440;Lithuania;2005;Female;;;9,69;;20,76;;98,93;;;15,46;100,0;;;52,66;20,59;35,17;92,13;;67,73;;98,49;1,21;91,6;90,49;15,384615384615;50,76;;;;103,7;-;22,9;;22,0;;19,4;11,51;;12,0;44,96;;;;;3,92;;;0,21;;;;21,87;35,66;0,54
2533;Developed regions;440;Lithuania;2005;Male;;;14,59;;37,03;;98,52;;;15,97;;;;;29,64;;89,88;;46,04;;62,92;2,79;90,55;91,41;;62,88;;;;104,62;;10,73;;;;;16,93;;;;;;;;2,04;;;;;;;14,8;36,85;
2534;Developed regions;440;Lithuania;2005;Both sexes;;;12,19;;29,06;;98,72;;;15,76;;;;;25,18;;90,97;;56,67;;80,37;2,01;91,06;90,96;;56,28;;;;104,17;;16,69;;;;;14,27;;;;;;;;2,96;;;;;;;18,68;36,22;
2535;Developed regions;440;Lithuania;2007;Female;;;7,87;;19,74;;;;;10,44;100,0;;;54,52;22,35;32,48;97,6;;71,66;;101,04;1,13;96,52;96,53;;50,2;;;;101,46;-;18,98;;24,8;;19,9;8,59;;12,0;40,28;85,28;;;;2,68;;;0,24;;;;;48,82;0,55
2536;Developed regions;440;Lithuania;2007;Male;;;13,17;;41,05;;99,07;;;6,99;;;;;31,64;;96,31;;44,97;;64,77;2,99;95,95;95,92;;61,97;;;;101,89;;10,0;;;;;13,98;;;;85,9;;;;1,21;;;;;;;;51,14;
2537;Developed regions;440;Lithuania;2007;Both sexes;;;10,56;;30,55;;99,05;;;8,4;;;;;27,06;;96,94;;58,13;;82,57;2,07;96,23;96,22;;55,55;;;;101,68;;14,43;;;;;11,33;;;;85,57;;;;1,94;;;;;;;;49,9;
2538;Developed regions;440;Lithuania;2009;Female;;;6,17;;17,65;;99,33;;;22,36;100,0;;;55,07;25,85;30,31;97,39;;75,7;;106,23;1,28;99,32;96,7;;52,04;;;;100,35;-;19,19;;17,7;;18,6;6,65;;10,0;40,29;;;22,0;;1,9;;;0,26;;;;;58,82;0,56
2539;Developed regions;440;Lithuania;2009;Male;;;9,86;;36,88;;99,15;;;35,06;;;;;32,66;;95,1;;51,59;;71,16;3,65;99,2;100,45;;61,98;;;;100,57;;9,91;;;;;11,53;;;;;;50,0;;1,33;;;;;;;;60,82;
2540;Developed regions;440;Lithuania;2009;Both sexes;;;7,93;;26,85;;99,24;;;29,55;;;;;29,31;;96,21;;64,17;;88,46;2,42;99,26;98,63;;56,55;;;;100,46;;14,75;;;;;8,98;;;;;;;;1,63;;;;;;;;59,76;
2541;Developed regions;440;Lithuania;2010;Female;;;5,88;;16,61;;99,18;;;31,58;100,0;;;54,71;25,43;28,7;95,28;;76,9;6,1;103,06;1,16;99,39;103,05;14,285714285713999;52,53;;;;99,99;-;19,0;;19,1;;15,7;6,49;;9,0;41,98;93,81;;;;1,76;;;0,27;;;;22,33;63,86;0,57
2542;Developed regions;440;Lithuania;2010;Male;;;8,22;;33,4;;98,44;;;38,96;;;;;31,32;;95,49;;55,17;7,3;68,69;3,53;99,23;103,04;;62,0;;;;101,89;;8,7;;;;;11,44;;;;93,6;;;;1,44;;;;;;;15,43;64,46;
2543;Developed regions;440;Lithuania;2010;Both sexes;;;6,98;;24,56;;98,8;;;35,71;;;;;28,42;;95,39;;66,61;;85,66;2,28;99,31;103,05;;56,82;;;;100,96;;14,12;;;;;8,83;;;;93,71;;;;1,61;;;;;;;19,24;64,14;
2544;Developed regions;440;Lithuania;1998;Female;;;10,39;;22,44;;100,0;;;18,91;100,0;;;;34,79;;94,15;;61,06;;47,12;2,35;97,82;;;53,44;;;;92,37;-;17,06;;17,5;;29,7;16,5;;20,0;37,99;;;;;4,07;;;;;;;;;
2545;Developed regions;440;Lithuania;1998;Male;;;14,12;;35,29;;99,93;;;29,29;;;;;53,29;;91,46;;42,27;;30,38;4,63;97,93;;;70,04;;;;91,68;;9,97;;;;;22,43;;;;;;;;3,41;;;;;;;;;
2546;Developed regions;440;Lithuania;1998;Both sexes;;;12,31;;29,07;;99,96;;;25,24;;;;;44,14;;92,78;;51,37;;38,66;3,53;97,88;;;61,05;;;;92,02;;13,4;;;;;19,56;;;;;;;;3,73;;;;;;;;;
2547;Developed regions;440;Lithuania;2001;Female;;;10,85;;20,96;;99,33;99,74;;24,65;100,0;;;;27,92;35,66;93,43;;65,99;;67,7;1,43;97,75;107,46;;53,57;;;;100,21;-;22,32;;10,6;;21,3;13,05;;16,0;50,03;;;;;3,62;;;;;;;;;
2548;Developed regions;440;Lithuania;2001;Male;;;17,85;;32,54;;100,0;99,66;;36,61;;;;;38,01;;90,38;;45,18;;44,16;3,51;98,24;108,23;;65,59;;;;101,41;;10,62;;;;;22,28;;;;;;;;3,25;;;;;;;;;
2549;Developed regions;440;Lithuania;2001;Both sexes;;;14,28;;26,64;;99,67;99,7;;31,58;;;;;33,0;;91,87;;55,79;;55,76;2,45;98,0;107,85;;59,05;;;;100,82;;16,59;;;;;17,57;;;;;;;;3,44;;;;;;;;;
2550;Developed regions;440;Lithuania;2004;Female;;;10,32;;19,73;;99,44;;;16,53;100,0;;;52,9;19,37;35,64;89,7;;66,76;;91,53;1,15;92,07;98,91;;51,47;100,0;;;104,21;-;20,38;;10,6;;20,0;13,51;;12,0;46,8;;;;;4,2;;;0,2;;;;;30,91;0,53
2551;Developed regions;440;Lithuania;2004;Male;;;17,3;;36,28;;99,1;;;22,46;;;;;32,01;;86,89;;44,79;;59,06;2,52;92,01;100,92;;63,93;;;;105,22;;9,65;;;;;18,93;;;;;;;;2,04;;;;;;;;31,59;
2552;Developed regions;440;Lithuania;2004;Both sexes;;;13,9;;28,2;;99,27;;;20,26;;;;;25,78;;88,26;;55,51;;75,03;1,85;92,04;99,93;;57,15;;;;104,72;;14,88;;;;;16,28;;;;;;;;3,09;;;;;;;;31,23;
2553;Developed regions;440;Lithuania;2006;Male;;;14,42;;39,64;;99,25;;;9,99;;;;;29,14;;95,55;;44,19;;64,32;3,04;92,8;92,5;;61,31;;;;102,73;;11,34;;;;;16,17;;;;81,71;;50,0;;1,59;;;;;;;;45,28;
2554;Developed regions;440;Lithuania;2006;Both sexes;;;12,0;;29,57;;99,22;;;9,98;;;;;26,29;;95,72;;56,6;;81,86;2,21;93,01;92,71;;55,25;;;;102,5;;16,37;;;;;13,83;;;;81,37;;;;2,78;;;;;;;;43,9;
2555;Developed regions;440;Lithuania;2011;Female;;;5,93;;16,39;79,1;99,92;99,87;;29,37;100,0;;53,7;54,72;24,08;28,82;97,12;;77,15;;96,49;1,34;98,14;97,57;;52,7;;89,3;;99,83;-;20,89;;19,1;;15,2;6,46;;11,0;36,47;;;;32,4;1,49;;;0,29;;98,1;;;63,56;0,58
2556;Developed regions;440;Lithuania;2011;Male;;;7,79;;33,34;84,9;98,91;99,85;;34,88;;;44,6;;32,06;;97,87;;55,98;;65,43;3,47;98,16;100,56;;63,08;;94,5;;102,36;;9,7;;;;;10,67;;;;;;;25,4;1,3;;;;;99,1;;;63,72;
2557;Developed regions;440;Lithuania;2011;Both sexes;;;6,83;;24,56;81,7;99,39;99,86;;32,58;;;49,6;;28,16;;97,5;;66,96;;80,76;2,37;98,15;99,11;;57,39;;91,6;;101,13;;15,5;;;;;8,49;;;;;;;29,3;1,4;;;;;98,6;;;63,64;
2558;Developed regions;440;Lithuania;2002;Female;;;12,04;;19,58;;98,93;;;21,57;100,0;;;;27,45;36,87;86,29;;65,49;;74,96;1,36;97,8;107,48;;52,61;;;;103,63;-;20,16;;10,6;;21,2;14,93;;14,0;48,45;;;;;4,37;;;;;;;;;
2559;Developed regions;440;Lithuania;2002;Male;;;17,86;;34,88;;99,68;;;19,59;;;;;35,98;;84,74;;42,9;;47,72;2,88;98,16;108,84;;65,43;;;;105,64;;10,47;;;;;22,22;;;;;;;;2,93;;;;;;;;;
2560;Developed regions;440;Lithuania;2002;Both sexes;;;15,0;;27,37;;99,32;;;20,44;;;;;31,73;;85,5;;53,99;;61,16;2,13;97,99;108,17;;58,46;;;;104,65;;15,23;;;;;18,64;;;;;;;;3,64;;;;;;;;17,69;
2561;Developed regions;440;Lithuania;2012;Female;;;6,19;;16,15;79,2;99,75;;;22,7;100,0;;53,9;55,5;26,06;27,24;98,05;;77,5;4,9;91,88;1,29;98,8;97,81;14,3;53,2;;89,12;46;99,57;-;21,55;;23,4;;;6,34;;10,0;35,3;;;;32,54;1,46;;;0,31;;98,42;;;67,0;0,61
2562;Developed regions;440;Lithuania;2012;Male;;;8,98;;34,6;84,55;98,88;;;29,72;;;44,32;;32,37;;96,48;;53,99;5,9;63,08;3,17;98,35;97,36;;63,23;;94,34;26;103,29;;10,47;;;;;11,41;;;;;;;25,25;1,15;;;;;99,06;;;67,49;
2563;Developed regions;440;Lithuania;2012;Both sexes;;;7,54;;25,08;81,55;99,3;;;26,67;;;49,69;;29,29;;97,25;;66,12;;77,23;2,2;98,57;97,58;;57,73;;91,42;;101,48;;16,19;;;;;8,8;;;;;;;29,33;1,31;;;;;98,7;;;67,23;
2564;Developed regions;440;Lithuania;2013;Female;;;6,99;;16,18;;99,65;;;20,36;100,0;98,77;;55,49;27,02;26,68;99,45;;77,72;4,4;86,08;1,22;99,85;96,81;;52,95;;;;103,14;;22,24;;24,1;;;6,1;;10,0;36,46;;;;;1,45;;;0,32;;;;;68,37;0,6
2565;Developed regions;440;Lithuania;2013;Male;;;9,87;;35,17;;98,91;;;22,99;;101,35;;;35,78;;98,7;;54,0;5,4;58,51;3,21;99,61;97,54;;64,13;;;;107,56;;11,13;;;;;10,82;;;;;;;;0,87;;;;;;;;68,54;
2566;Developed regions;440;Lithuania;2013;Both sexes;;;8,41;;25,53;;99,27;;;21,89;;100,1;;;31,51;;99,07;;66,05;;71,97;2,2;99,73;97,18;;58,0;;;;105,41;;16,77;;;;;8,42;;;;;;;;1,17;;;;;;;;68,45;
2567;Developed regions;440;Lithuania;2014;Female;;;7,58;;16,18;;100,0;;;18,71;100,0;97,15;;55,73;29,59;;99,52;;77,08;;82,01;1,31;99,87;100,69;21,43;53,88;;;;104,62;;22,39;;;;;6,74;;10,0;35,36;;5,0;;;1,36;;4,0;0,35;;;;;;0,6
2568;Developed regions;440;Lithuania;2014;Male;;;9,57;;33,59;;99,07;;;19,64;;101,35;;;38,59;;97,79;;54,72;;55,82;3,3;99,08;101,6;;65,05;;;;108,9;;11,27;;;;;11,68;;;;;;;;1,16;;;;;;;;;
2569;Developed regions;440;Lithuania;2014;Both sexes;;;8,56;;24,72;;99,52;;;19,25;;99,31;;;34,22;;98,64;;66,11;;68,53;2,29;99,47;101,16;;58,93;;;;106,82;;16,94;;;;;9,17;;;;;;;;1,26;;;;;;;;;
2570;Developed regions;440;Lithuania;2015;Female;;;7,27;;16,47;;;99,92;;16,65;;100,54;;;30,78;;99,03;;76,91;4,7;;1,33;99,87;102,99;;54,44;;;;106,06;;20,85;;;;;6,63;;10,0;38,1;;;;;1,43;;;;;;;;;
2571;Developed regions;440;Lithuania;2015;Male;;;10,46;;34,03;;;99,9;;16,02;;108,36;;;36,72;;99,25;;54,36;5,6;;3,28;98,94;101,41;;64,88;;;;110,34;;9,92;;;;;11,61;;;;;;;;0,86;;;;;;;;;
2572;Developed regions;440;Lithuania;2015;Both sexes;;;8,83;;25,07;;;99,91;;16,3;;104,56;;;33,83;;99,14;;65,86;;;2,29;99,39;102,18;;59,16;;;;108,26;;15,49;;;;;9,07;;;;;;;;1,15;;;;;;;;;
2573;Developed regions;440;Lithuania;2016;Female;;;7,04;;15,69;;;;;12,63;;;;;31,85;;;;78,76;;;1,4;;;;55,65;;;;;;;;;;;5,55;;;;;;;;;;;;;;;;;
2574;Developed regions;440;Lithuania;2016;Male;;;11,17;;35,31;;;;;15,89;;;;;38,69;;;;54,15;;;3,37;;;;66,02;;;;;;;;;;;10,54;;;;;;;;;;;;;;;;;
2575;Developed regions;442;Luxembourg;1999;Female;;;2,91;;6,94;;;;;7,4;;;;;31,87;;94,18;;91,29;;;4,08;98,39;;;40,72;;;;99,55;-;32,01;;20,0;;;1,45;;12,0;11,99;;;;;1,53;;;;;;;;;
2576;Developed regions;442;Luxembourg;1999;Male;;;3,03;;31,46;;;;;6,2;;;;;35,97;;90,14;;65,81;;;6,29;96,33;;;64,31;;;;95,33;;5,43;;;;;2,26;;;;;;;;0,2;;;;;;;;;
2577;Developed regions;442;Luxembourg;1999;Both sexes;;;2,98;;21,9;;;;;6,75;;;;;33,96;;92,11;;75,76;;10,06;5,43;97,34;;;52,36;;;;97,39;;15,8;;;;;1,94;;;;;;;;0,72;;;;;;;;;
2578;Developed regions;442;Luxembourg;2003;Female;;;5,88;;6,06;;;;;12,19;99,9;;;;29,68;;91,87;;91,83;;13,28;0,89;96,14;;;43,66;;;;98,68;-;38,94;;16,7;;11,0;1,83;;12,0;11,17;;;;;0,36;;;;;;;;50,35;
2579;Developed regions;442;Luxembourg;2003;Male;;;6,44;;28,23;;;;;9,73;;;;;31,02;;88,26;;68,18;;11,14;1,89;95,61;;;65,08;;;;93,64;;12,25;;;;;3,32;;;;;;;;0,06;;;;;;;;58,75;
2580;Developed regions;442;Luxembourg;2003;Both sexes;;;6,22;;19,23;;;;;10,93;;;;;30,35;;90,02;;77,78;;12,19;1,49;95,87;;;54,17;;;;96,1;;23,08;;;;;2,71;;;;;;;;0,18;;;;;;;;54,55;
2581;Developed regions;442;Luxembourg;2008;Female;;;4,56;;6,13;;;;;24,08;;;;;27,12;48,18;96,81;;92,67;;10,41;1,34;98,2;;14,285714285713999;48,06;;;;98,77;-;44,84;;23,3;;8,6;1,17;;10,0;15,31;94,36;;;;0,5;;;;22,2;;;;73,78;
2582;Developed regions;442;Luxembourg;2008;Male;;;3,34;;22,13;;;;;12,53;;;;;30,88;;88,36;;75,67;;10,81;3,24;97,08;;;64,14;;;;96,32;;19,17;;;;;2,03;;;;95,9;;;;0,0;;;;24,5;;;;90,58;
2583;Developed regions;442;Luxembourg;2008;Both sexes;;;3,86;;15,26;;;;;17,87;;;;;29,02;;92,45;;82,96;;10,61;2,42;97,63;;;56,01;;;;97,52;;30,19;;;;;1,66;;;;95,14;;;;0,22;;;;;;;;82,23;
2584;Developed regions;442;Luxembourg;2000;Female;;;2,25;;6,37;;;;;7,29;;;;;30,56;;94,71;;92,0;4,4;;3,85;98,23;;;41,37;;;;99,9;-;32,34;;16,7;;12,2;1,49;;13,0;24,13;;;;;1,29;;;;;;;24,12;;
2585;Developed regions;442;Luxembourg;2000;Male;;;3,21;;30,1;;;;;5,66;;;;;37,38;;92,87;;66,63;5,2;;7,48;96,02;;;66,08;;;;94,36;;5,88;;;;;3,06;;;;;;;;0,07;;;;;;;19,72;;
2586;Developed regions;442;Luxembourg;2000;Both sexes;;;2,83;;20,75;;;;;6,38;;;;;34,02;;93,77;;76,62;;9,81;6,05;97,1;;;53,41;;;;97,06;;16,3;;;;;2,44;;;;;;;;0,55;;;;;;;22,11;;
2587;Developed regions;442;Luxembourg;2005;Female;;;4,82;;5,79;;;;;16,19;;;;;25,47;;95,09;;93,02;;;1,62;98,27;;14,285714285713999;46,35;;;;97,92;-;42,4;;23,3;;12,0;1,08;;13,0;9,35;;;;;0,6;;;;;;;24,6;59,56;
2588;Developed regions;442;Luxembourg;2005;Male;;;5,03;;25,53;;;;;11,74;;;;;32,13;;91,14;;72,11;;;3,67;97,27;;;65,08;;;;92,9;;13,85;;;;;2,2;;;;;;;;0,03;;;;;;;20,49;82,11;
2589;Developed regions;442;Luxembourg;2005;Both sexes;;;4,94;;17,27;;;;;;;;;;28,83;;93,07;;80,86;;;2,82;97,75;;;55,56;;;;95,37;;25,8;;;;;1,73;;;;;;;;0,27;;;;;;;22,69;70,43;
2590;Developed regions;442;Luxembourg;2007;Female;;;3,95;;5,52;;;;;17,47;;;;;22,31;;92,91;;93,28;;;1,75;98,8;;;50,37;;;;98,3;-;41,55;;23,3;;10,1;1,16;;12,0;9,74;94,35;;;;0,34;;;;;;;;72,21;
2591;Developed regions;442;Luxembourg;2007;Male;;;4,23;;25,84;;;;;13,54;;;;;30,64;;96,0;;71,73;;;3,9;97,93;;;61,3;;;;95,21;;15,15;;;;;2,38;;;;94,61;;;;0,03;;;;;;;;85,57;
2592;Developed regions;442;Luxembourg;2007;Both sexes;;;4,11;;16,91;;;;;15,19;;;;;26,49;;94,49;;81,2;;;2,95;98,35;;;55,93;;;;96,72;;26,75;;;;;1,84;;;;94,48;;;;0,17;;;;;;;;78,92;
2593;Developed regions;442;Luxembourg;2009;Female;;;4,45;;3,95;;;;;17,78;99,9;;;;29,47;;;;93,04;;;1,38;;;;49,89;;;;;-;43,15;;23,3;;7,0;0,84;;11,0;15,43;;;;;1,01;;;0,1;;;;;82,5;
2594;Developed regions;442;Luxembourg;2009;Male;;;5,84;;19,09;;;;;16,67;;;;;34,93;;;;76,64;;;3,9;;;;66,6;;;;;;16,9;;;;;1,68;;;;;;;;0,39;;;;;;;;92,06;
2595;Developed regions;442;Luxembourg;2009;Both sexes;;;5,24;;12,6;;;;;17,16;;;;;32,26;;;;83,67;;;2,82;;;;58,16;;;;;;28,15;;;;;1,32;;;;;;;;0,65;;;;;;;;87,31;
2596;Developed regions;442;Luxembourg;2010;Female;;;4,26;;4,59;71,2;;;;10,19;;;;42,63;22,65;;93,19;;89,97;2,2;19,23;1,76;96,17;85,06;26,666666666667;49,78;;;;102,88;-;40,77;;20,0;;7,5;0,71;;11,0;19,64;;;;29,0;0,74;;;0,11;;;;25,58;87,04;
2597;Developed regions;442;Luxembourg;2010;Male;;;4,71;;18,85;79,9;;;;17,65;;;;;26,8;;91,69;;74,4;2,6;17,34;4,34;94,46;83,6;;65,83;;;;99,89;;17,31;;;;;1,3;;;;;;;37,4;0,19;;;;;;;21,94;94,14;
2598;Developed regions;442;Luxembourg;2010;Both sexes;;;4,51;;12,66;75,5;;;;14,23;;;;;24,73;;92,41;;81,15;;18,28;3,22;95,29;84,31;;57,7;;;;101,35;;27,49;;;;;1,05;;;;;;;33,2;0,43;;;;;;;23,86;90,62;
2599;Developed regions;442;Luxembourg;1996;Female;;;2,27;;6,73;;;;;8,27;;;;;38,5;;;;91,53;;;3,77;;;;37,03;;;;89,76;-;29,45;;20,0;;9,9;1,62;;13,0;16,91;;;;;1,84;;;;;;;;;
2600;Developed regions;442;Luxembourg;1996;Male;;;2,79;;32,17;;;;;10,08;;;;;42,79;;;;64,4;;;7,88;;;;65,39;;;;86,42;;6,63;;;;;3,23;;;;;;;;0,15;;;;;;;;;
2601;Developed regions;442;Luxembourg;1996;Both sexes;;;2,6;;22,9;;;;;9,23;;;;;40,67;;;;74,29;;8,09;6,38;;;;50,96;;;;88,05;;14,94;;;;;2,64;;;;;;;;0,76;;;;;;;;;
2602;Developed regions;442;Luxembourg;1998;Female;;;2,96;;6,77;;;;;7,09;;;;;33,36;;;;91,24;;;2,63;;;;38,51;;;;92,93;-;32,39;;20,0;;9,7;1,67;;12,0;11,97;;;;;;;;;;;;;;
